Ticker
A
AAL
AAP
AAPL
ABBV
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
ADT
AEE
AEP
AES
AET
AFL
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALTR
AMAT
AMCR
AMD
AME
AMG
AMGN
AMP
AMT
AMZN
AN
ANDV
ANET
ANF
ANSS
AON
AOS
APA
APD
APH
APTV
ARE
ATGE
ATI
ATO
AVB
AVGO
AVY
AWK
AXP
AYI
AZO
BA
BAC
BAX
BBY
BDX
BEAM
BEN
BHF
BIIB
BIO
BK
BKNG
BKR
BLK
BMS
BMY
BR
BSX
BWA
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCEP
CCI
CCL
CDNS
CDW
CE
CF
CFG
CHD
CHRW
CHTR
CI
CINF
CL
CLF
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
CNX
COF
COL
COO
COP
COST
COTY
CPB
CPRI
CPRT
CPWR
CRM
CSCO
CSRA
CSX
CTAS
CTLT
CTSH
CTVA
CVS
CVX
D
DAL
DD
DE
DELL
DFS
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DNB
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXC
DXCM
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EP
EQIX
EQR
EQT
ES
ESRX
ESS
ETN
ETR
ETSY
EVHC
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCPT
FCX
FDX
FE
FFIV
FHN
FIS
FITB
FL
FLR
FLS
FMC
FOSL
FOX
FOXA
FRT
FSLR
FTI
FTNT
FTV
GD
GE
GHC
GILD
GIS
GL
GLW
GM
GME
GNW
GOOG
GOOGL
GPC
GPN
GRMN
GS
GT
GWW
HAL
HAS
HBAN
HBI
HCA
HD
HES
HIG
HII
HLT
HOG
HOLX
HON
HOT
HP
HPE
HPQ
HRB
HRL
HSIC
HST
HSY
HUM
HWM
IBM
ICE
IDXX
IEX
IFF
IGT
ILMN
INCY
INTC
INTU
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITT
ITW
IVZ
J
JBHT
JBL
JCI
JEF
JKHY
JNJ
JNPR
JPM
JWN
K
KDP
KEY
KEYS
KHC
KIM
KLAC
KMB
KMI
KMX
KO
KR
KSS
L
LDOS
LEG
LEN
LH
LHX
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LRCX
LUMN
LUV
LVS
LW
LYB
LYV
M
MA
MAA
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MGM
MHK
MHS
MI
MKC
MKTX
MLM
MMC
MMI
MMM
MNST
MO
MOS
MPC
MRK
MRO
MS
MSCI
MSFT
MSI
MTB
MTD
MU
MUR
NAVI
NBR
NCLH
NDAQ
NEE
NEM
NFLX
NFX
NI
NKE
NKTR
NOC
NOV
NOW
NRG
NSC
NSM
NTAP
NTRS
NUE
NVDA
NVR
NWL
NWS
NWSA
O
ODFL
OI
OKE
OMC
ORCL
ORLY
OTIS
OXY
PAYC
PAYX
PBI
PCAR
PCG
PDCO
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PLL
PM
PNC
PNR
PNW
POOL
PPG
PPL
PRGO
PRU
PSA
PSX
PVH
PWR
PYPL
QCOM
QRVO
R
RCL
REG
REGN
RF
RHI
RIG
RJF
RL
RMD
ROK
ROL
ROP
ROST
RRC
RSG
RTX
SBAC
SBUX
SCG
SCHW
SE
SEE
SHW
SIG
SJM
SLB
SLG
SLM
SNA
SNI
SNPS
SO
SPG
SPGI
SRCL
SRE
STE
STT
STX
STZ
SUN
SVU
SWK
SWKS
SWN
SYF
SYK
SYY
T
TAP
TDC
TDG
TDY
TEL
TER
TFC
TFX
TGNA
TGT
THC
TJX
TMO
TMUS
TPR
TRIP
TROW
TRV
TSCO
TSLA
TSN
TT
TTWO
TWX
TXN
TXT
TYL
UA
UAA
UAL
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URBN
URI
USB
V
VFC
VIAV
VLO
VMC
VNO
VNT
VRSK
VRSN
VRTX
VTR
VTRS
VZ
WAB
WAT
WBA
WDC
WEC
WELL
WFC
WHR
WM
WMB
WMT
WRB
WST
WU
WY
WYNN
X
XEL
XOM
XRAY
XRX
XYL
YUM
ZBH
ZBRA
ZION
ZTS
