Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
5/6/2011,0.08,-0.15,-0.14,0.01,-0.15,0,0.17
5/9/2011,0.31,0.46,-0.29,-0.01,-0.14,0,0.8
5/10/2011,0.71,0.01,0.16,-0.03,0.23,0,0.02
5/11/2011,-0.94,-0.12,-0.21,0.37,-0.17,0,-0.61
5/12/2011,-0.06,-0.04,-0.04,-0.01,0.15,0,-0.53
5/13/2011,-0.89,-0.27,-0.21,0.17,-0.16,0,-0.03
5/16/2011,-0.5,-0.49,0,0.25,-0.1,0,-0.32
5/17/2011,-0.24,-0.08,-0.02,0.04,-0.1,0,-0.22
5/18/2011,0.78,0.08,-0.09,-0.16,-0.04,0,0.58
5/19/2011,0.51,-0.12,-0.21,0.2,-0.01,0,0.28
5/20/2011,-0.77,0.31,-0.29,0.07,-0.21,0,0.18
5/23/2011,-1.74,0.01,0.01,0.28,-0.23,0,-0.46
5/24/2011,0.17,-0.04,-0.1,0.12,-0.16,0,0.43
5/25/2011,0.37,-0.1,0.04,-0.32,0.11,0,0.29
5/26/2011,0.68,0.41,-0.28,0.04,0.01,0,0.65
5/27/2011,0.9,0.05,0.07,-0.12,0.06,0,0.24
5/30/2011,-0.08,0.18,0,0.08,-0.03,0,0.11
5/31/2011,1.2,-0.18,0.02,-0.11,0.1,0,0.27
6/1/2011,-1.44,0.41,-0.14,0.45,-0.4,0,0.34
6/2/2011,-0.32,0.16,0.11,-0.08,0.03,0,-0.13
6/3/2011,-0.34,-0.09,0.17,0.06,-0.04,0,0.03
6/6/2011,-0.96,0.03,-0.39,0.5,-0.22,0,-0.17
6/7/2011,0.26,0.12,0.03,0.04,0.11,0,0.14
6/8/2011,-0.93,-0.22,0.14,0.36,-0.18,0,-0.19
6/9/2011,0.44,-0.3,-0.01,0.02,0.15,0,0.41
6/10/2011,-1.5,0.37,0.28,0.03,-0.01,0,-0.25
6/13/2011,0.12,-0.17,0.04,0.26,-0.2,0,-0.3
6/14/2011,1.16,-0.09,0.1,-0.08,0.17,0,0.25
6/15/2011,-1.87,0.32,-0.08,0.22,-0.08,0,-0.13
6/16/2011,-0.45,-0.23,0.34,0.18,0.12,0,-0.79
6/17/2011,0.42,-0.36,0.26,0.02,0.17,0,-0.13
6/20/2011,-0.02,-0.17,0.01,0.15,-0.03,0,-0.13
6/21/2011,1.72,-0.07,-0.04,-0.35,-0.01,0,0.83
6/22/2011,-0.36,0.34,0.12,-0.13,-0.01,0,0.39
6/23/2011,-1,0.4,-0.32,0.2,-0.11,0,0.05
6/24/2011,-0.56,0.42,-0.12,0.14,-0.14,0,0.06
6/27/2011,0.37,-0.44,-0.03,0.23,0.03,0,-0.14
6/28/2011,1.13,-0.19,-0.22,-0.05,-0.03,0,0.45
6/29/2011,1.49,-0.38,0.16,-0.26,0.12,0,0.37
6/30/2011,1.25,-0.01,0.11,-0.07,0.13,0,0.16
7/1/2011,1.01,-0.28,0.18,-0.19,0.12,0,-0.14
7/4/2011,0.3,0.25,-0.12,-0.01,0.03,0,0.2
7/5/2011,-0.31,0.08,-0.52,0.2,-0.28,0,0.6
7/6/2011,-0.2,0.34,-0.58,0.41,-0.19,0,0.4
7/7/2011,0.72,0.07,-0.19,0.01,-0.22,0,-0.11
7/8/2011,-0.58,0.45,-0.51,0.39,-0.08,0,0.41
7/11/2011,-2.14,0.53,-0.26,0.49,-0.08,0,-0.1
7/12/2011,-0.64,0.03,0.18,-0.03,0.09,0,-0.35
7/13/2011,1.09,0.18,-0.28,-0.04,-0.15,0,0.57
7/14/2011,-0.74,-0.02,0,0.23,-0.04,0,0.31
7/15/2011,0.16,-0.1,-0.23,0.1,-0.39,0,0.3
7/18/2011,-1.14,0.12,-0.35,0.29,-0.33,0,0.39
7/19/2011,1.17,-0.25,-0.22,0,-0.18,0,-0.04
7/20/2011,0.75,-0.27,0.53,-0.39,0.25,0,-0.26
7/21/2011,1.55,-0.52,0.73,-0.41,0.4,0,-0.6
7/22/2011,0.27,0.07,-0.38,-0.01,-0.25,0,0.06
7/25/2011,-0.5,-0.02,-0.29,0.46,-0.11,0,0.56
7/26/2011,0.21,0.14,-0.04,0.12,-0.16,0,-0.02
7/27/2011,-1.81,0.28,0.01,0.34,0.18,0,0.01
7/28/2011,-0.4,-0.14,0.09,-0.19,-0.11,0,-0.22
7/29/2011,-0.39,0.24,0.06,-0.15,0.26,0,0.09
8/1/2011,-0.67,0.44,-0.2,0.01,-0.18,0,0.28
8/2/2011,-2.2,0.2,0,0.1,-0.17,0,-0.56
8/3/2011,-0.53,-0.38,-0.11,0.1,-0.05,0,-0.58
8/4/2011,-4.51,0.22,0.39,0.4,0.35,0,-0.93
8/5/2011,-1.18,-1.08,0.08,0.66,0.2,0,-0.97
8/8/2011,-5.18,0,-0.25,0.65,0.06,0,-1.15
8/9/2011,3.1,-0.73,-0.43,-0.45,-0.11,0,0.99
8/10/2011,-3.1,1.85,-1.06,0.85,-0.47,0,1.28
8/11/2011,3.02,-1.04,0.32,-0.24,-0.26,0,0.11
8/12/2011,1.33,-0.49,-0.25,0.36,-0.1,0,0.52
8/15/2011,2.05,0.16,0,-0.33,0.03,0,0.15
8/16/2011,-0.77,0.01,0,0.31,0.12,0,-0.43
8/17/2011,0.3,0.07,0.18,-0.01,0.1,0,-0.22
8/18/2011,-4.18,0.85,0.4,0.44,0.35,0,-1
8/19/2011,-1.62,0.22,-0.01,0.04,0.02,0,-0.7
8/22/2011,-0.06,-0.58,-0.45,0.38,-0.12,0,-0.42
8/23/2011,2.34,-0.23,-0.43,0.22,-0.28,0,0.71
8/24/2011,0.73,-0.64,0.53,-0.24,0.37,0,-0.32
8/25/2011,-0.94,0.23,0.19,-0.35,0.11,0,0.05
8/26/2011,1.06,0.42,-0.78,0.22,-0.46,0,0.77
8/29/2011,2.16,0.09,0.28,-0.42,0.1,0,-0.29
8/30/2011,0.47,0.23,-0.36,0.04,-0.36,0,0.51
8/31/2011,1.19,-0.49,0.01,0.1,-0.14,0,0.08
9/1/2011,-0.62,-0.25,-0.3,0.18,0.04,0,0.39
9/2/2011,-2.33,0.64,-0.51,0.48,-0.13,0,0.61
9/5/2011,-1.9,0.42,-0.19,0.22,-0.03,0,0.3
9/6/2011,-1.2,-0.22,-0.35,0.22,-0.5,0,0.15
9/7/2011,3.11,-0.53,0.13,-0.46,-0.13,0,-0.67
9/8/2011,-0.81,-0.13,-0.3,0.21,-0.32,0,0.43
9/9/2011,-2.7,0.96,-0.28,0.24,-0.17,0,0.39
9/12/2011,-0.98,-0.15,-0.08,-0.02,-0.21,0,0.23
9/13/2011,1.01,-0.07,0.15,-0.27,0.12,0,-0.36
9/14/2011,1.07,-0.75,0.08,0.09,-0.05,0,-0.36
9/15/2011,1.94,-0.6,0.41,-0.21,0.17,0,-0.49
9/16/2011,0.53,0.39,-0.12,0.11,-0.08,0,0.29
9/19/2011,-1.59,0.13,-0.51,0.58,0.06,0,1.25
9/20/2011,0.13,-1.09,-0.21,0.29,-0.12,0,0.6
